Номер заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1,2024-01-01,Товар A,Категория 1,10,100,1000
2,2024-01-02,Товар B,Категория 2,5,200,1000
3,2024-01-03,Товар C,Категория 1,2,150,300
4,2024-01-04,Товар A,Категория 1,3,100,300
5,2024-01-05,Товар B,Категория 2,7,200,1400
6,2024-01-06,Товар C,Категория 1,1,150,150
7,2024-01-07,Товар A,Категория 1,8,100,800
8,2024-01-08,Товар B,Категория 2,6,200,1200
9,2024-01-09,Товар C,Категория 1,4,150,600
10,2024-01-10,Товар A,Категория 1,5,100,500
